promo_id,product_id,campaign_name,discount_pct,start_date,end_date,channel
PROMO0065,P062,Eid Special,23.0,2024-07-21,2024-08-02,In-Store
PROMO0066,P062,New Year Sale,19.0,2025-11-27,2025-12-09,Both
PROMO0067,P054,New Year Sale,37.0,2024-07-10,2024-07-23,Both
PROMO0068,P153,New Year Sale,16.0,2025-12-10,2025-12-13,In-Store
PROMO0069,P023,Weekend Flash Deal,11.0,2024-01-18,2024-01-31,Both
PROMO0070,P132,Anniversary Discount,,2025-09-02,2025-09-10,Both
PROMO0071,P109,Weekend Flash Deal,,2024-05-26,2024-05-30,In-Store
PROMO0072,P125,Anniversary Discount,24.0,2025-04-07,2025-04-17,Online
PROMO0073,P142,New Year Sale,35.0,2025-09-22,2025-10-06,Online
PROMO0074,P059,Festive Combo Offer,17.0,2025-11-07,2025-11-17,In-Store
PROMO0075,P145,Season Clearance,11.0,2025-08-01,2025-08-12,In-Store
PROMO0076,P023,Season Clearance,16.0,2024-10-30,2024-11-08,In-Store
PROMO0077,P022,New Year Sale,11.0,2025-10-27,2025-11-04,In-Store
PROMO0078,P137,Weekend Flash Deal,26.0,2025-12-08,2025-12-13,In-Store
PROMO0079,P123,Anniversary Discount,26.0,2025-11-19,2025-11-25,In-Store
PROMO0080,P011,Boishakh Bonanza,11.0,2025-12-08,2025-12-12,In-Store
PROMO0081,P061,Anniversary Discount,35.0,2024-12-19,2024-12-29,In-Store
PROMO0082,P016,Boishakh Bonanza,37.0,2025-05-08,2025-05-22,In-Store
PROMO0083,P109,Buy More Save More,30.0,2025-08-30,2025-09-12,In-Store
PROMO0084,P004,Eid Special,,2025-01-07,2025-01-21,In-Store
PROMO0085,P079,New Year Sale,25.0,2024-06-05,2024-06-17,Both
PROMO0086,P127,Weekend Flash Deal,33.0,2024-02-02,2024-02-15,Both
PROMO0087,P001,Weekend Flash Deal,35.0,2025-10-27,2025-11-01,Online
PROMO0088,P169,Boishakh Bonanza,11.0,2024-09-19,2024-09-27,Online
PROMO0089,P065,Buy More Save More,34.0,2024-04-10,2024-04-16,Online
PROMO0090,P040,Buy More Save More,33.0,2024-11-12,2024-11-20,In-Store
PROMO0091,P030,Festive Combo Offer,32.0,2025-11-08,2025-11-19,In-Store
PROMO0092,P156,Eid Special,12.0,2024-01-31,2024-02-13,In-Store
PROMO0093,P001,Boishakh Bonanza,43.0,2024-08-26,2024-09-03,In-Store
PROMO0094,P094,Eid Special,27.0,2024-07-07,2024-07-17,Online
PROMO0095,P037,Boishakh Bonanza,32.0,2025-11-29,2025-12-12,Online
PROMO0096,P108,Weekend Flash Deal,39.0,2024-01-25,2024-02-08,Online
PROMO0097,P136,New Year Sale,34.0,2025-10-25,2025-10-29,Both
PROMO0098,P152,Anniversary Discount,,2025-01-29,2025-02-12,In-Store
PROMO0099,P123,Weekend Flash Deal,44.0,2025-01-21,2025-01-30,Online
PROMO0100,P131,Weekend Flash Deal,40.0,2025-03-27,2025-04-01,In-Store
PROMO0101,P038,Anniversary Discount,33.0,2025-01-05,2025-01-18,Both
PROMO0102,P093,Boishakh Bonanza,36.0,2025-03-22,2025-03-25,In-Store
PROMO0103,P049,Weekend Flash Deal,42.0,2025-05-23,2025-05-29,Online
PROMO0104,P077,Anniversary Discount,15.0,2024-07-01,2024-07-05,Online
PROMO0105,P177,Festive Combo Offer,26.0,2024-02-28,2024-03-11,In-Store
PROMO0106,P150,New Year Sale,30.0,2024-04-12,2024-04-20,In-Store
PROMO0107,P033,Season Clearance,37.0,2025-08-19,2025-08-25,In-Store
PROMO0108,P076,New Year Sale,39.0,2025-03-09,2025-03-23,Online
PROMO0109,P061,Boishakh Bonanza,38.0,2024-02-12,2024-02-26,Online
PROMO0110,P146,Season Clearance,14.0,2024-11-30,2024-12-07,In-Store
PROMO0111,P046,Weekend Flash Deal,29.0,2024-05-05,2024-05-10,Both
PROMO0112,P036,Weekend Flash Deal,27.0,2025-04-26,2025-05-04,In-Store
PROMO0113,P023,New Year Sale,39.0,2024-07-09,2024-07-20,In-Store
PROMO0114,P087,Anniversary Discount,17.0,2024-10-24,2024-10-29,In-Store
PROMO0115,P101,Weekend Flash Deal,34.0,2025-03-28,2025-04-10,In-Store
PROMO0116,P061,Weekend Flash Deal,24.0,2025-09-30,2025-10-08,Both
PROMO0117,P032,Anniversary Discount,36.0,2025-11-14,2025-11-25,In-Store
PROMO0118,P124,Anniversary Discount,21.0,2025-11-11,2025-11-24,In-Store
PROMO0119,P168,Buy More Save More,11.0,2024-06-19,2024-06-29,Online
PROMO0120,P138,Buy More Save More,20.0,2025-08-18,2025-08-25,Online
PROMO0121,P037,Festive Combo Offer,28.0,2025-08-05,2025-08-17,Both
PROMO0122,P077,Buy More Save More,45.0,2024-08-26,2024-08-29,Both
PROMO0123,P021,Season Clearance,27.0,2025-05-08,2025-05-14,Online
PROMO0124,P011,Season Clearance,35.0,2024-07-25,2024-08-03,In-Store
PROMO0125,P105,Buy More Save More,28.0,2024-03-09,2024-03-22,In-Store
PROMO0126,P084,Anniversary Discount,27.0,2024-10-22,2024-10-27,Both
PROMO0127,P029,Season Clearance,43.0,2025-05-14,2025-05-27,Online
PROMO0128,P031,Eid Special,25.0,2025-07-12,2025-07-25,In-Store
PROMO0129,P141,Festive Combo Offer,39.0,2024-01-10,2024-01-23,Both
PROMO0130,P131,Festive Combo Offer,30.0,2025-10-28,2025-11-04,Both
PROMO0131,P029,Anniversary Discount,41.0,2025-04-16,2025-04-23,Both
PROMO0132,P143,Anniversary Discount,12.0,2024-08-19,2024-08-25,Both
PROMO0133,P142,Buy More Save More,25.0,2025-06-20,2025-06-29,In-Store
PROMO0134,P038,Season Clearance,31.0,2025-08-05,2025-08-17,Both
PROMO0135,P173,Buy More Save More,16.0,2025-11-06,2025-11-09,Both
PROMO0136,P001,Festive Combo Offer,11.0,2025-03-28,2025-04-08,Both
PROMO0137,P136,Boishakh Bonanza,30.0,2025-07-13,2025-07-21,Online
PROMO0138,P178,Eid Special,14.0,2025-03-17,2025-03-31,Both
PROMO0139,P128,Boishakh Bonanza,36.0,2025-06-15,2025-06-18,In-Store
PROMO0140,P093,Eid Special,29.0,2025-10-05,2025-10-15,Both
PROMO0141,P116,Anniversary Discount,22.0,2024-09-08,2024-09-20,In-Store
PROMO0142,P029,Eid Special,17.0,2024-06-13,2024-06-20,Online
PROMO0143,P040,Weekend Flash Deal,40.0,2024-03-03,2024-03-07,In-Store
PROMO0144,P119,New Year Sale,31.0,2025-02-08,2025-02-16,Online
PROMO0145,P003,Festive Combo Offer,45.0,2024-01-05,2024-01-15,In-Store
PROMO0146,P093,Boishakh Bonanza,42.0,2024-06-01,2024-06-04,In-Store
PROMO0147,P110,Boishakh Bonanza,38.0,2024-10-19,2024-10-22,In-Store
PROMO0148,P056,Boishakh Bonanza,17.0,2024-11-04,2024-11-16,Both
PROMO0149,P031,Festive Combo Offer,25.0,2025-09-06,2025-09-09,Online
PROMO0150,P042,New Year Sale,32.0,2025-12-16,2025-12-26,Online
PROMO0151,P175,New Year Sale,22.0,2025-10-23,2025-10-31,In-Store
PROMO0152,P179,Season Clearance,11.0,2025-09-22,2025-09-27,In-Store
PROMO0153,P128,Season Clearance,41.0,2025-01-08,2025-01-19,In-Store
PROMO0154,P156,Festive Combo Offer,22.0,2025-04-02,2025-04-08,Online
PROMO0155,P110,Season Clearance,20.0,2025-05-13,2025-05-19,Both
PROMO0156,P101,Season Clearance,22.0,2024-02-03,2024-02-13,Online
PROMO0157,P136,Boishakh Bonanza,36.0,2024-04-14,2024-04-27,Online
PROMO0158,P038,Anniversary Discount,28.0,2024-12-04,2024-12-08,Online
PROMO0159,P056,Weekend Flash Deal,34.0,2025-03-23,2025-04-03,Both
PROMO0160,P103,Anniversary Discount,40.0,2025-04-08,2025-04-18,In-Store
PROMO0161,P135,Festive Combo Offer,44.0,2025-03-10,2025-03-20,Online
PROMO0162,P112,Festive Combo Offer,14.0,2024-07-29,2024-08-09,In-Store
PROMO0163,P071,Eid Special,24.0,2024-04-20,2024-04-23,In-Store
PROMO0164,P011,Season Clearance,14.0,2025-06-19,2025-06-25,In-Store
PROMO0165,P016,Buy More Save More,42.0,2025-12-07,2025-12-17,Both
PROMO0166,P039,Weekend Flash Deal,30.0,2025-07-08,2025-07-16,In-Store
PROMO0167,P179,Weekend Flash Deal,24.0,2024-05-25,2024-06-08,In-Store
PROMO0168,P026,Weekend Flash Deal,35.0,2024-04-03,2024-04-07,Both
PROMO0169,P049,Buy More Save More,33.0,2025-09-02,2025-09-06,Both
PROMO0170,P082,Eid Special,35.0,2024-06-03,2024-06-11,In-Store
PROMO0171,P114,Season Clearance,13.0,2024-11-11,2024-11-14,In-Store
PROMO0172,P154,Festive Combo Offer,12.0,2024-01-23,2024-02-04,Both
PROMO0173,P138,Anniversary Discount,19.0,2024-09-14,2024-09-20,Online
PROMO0174,P046,Boishakh Bonanza,36.0,2025-11-15,2025-11-19,Both
PROMO0175,P054,Weekend Flash Deal,20.0,2024-03-31,2024-04-08,Online
PROMO0176,P159,Weekend Flash Deal,17.0,2024-09-01,2024-09-06,In-Store
PROMO0177,P044,Festive Combo Offer,,2025-01-10,2025-01-18,Online
PROMO0178,P113,Eid Special,44.0,2025-06-11,2025-06-25,Online
PROMO0179,P175,Season Clearance,20.0,2025-04-12,2025-04-18,Online
PROMO0180,P036,Eid Special,21.0,2024-07-30,2024-08-09,In-Store
PROMO0181,P051,New Year Sale,29.0,2025-08-09,2025-08-22,In-Store
PROMO0182,P020,Season Clearance,21.0,2024-11-12,2024-11-15,Both
PROMO0183,P039,Eid Special,18.0,2025-05-28,2025-05-31,In-Store
PROMO0184,P126,New Year Sale,29.0,2024-10-31,2024-11-09,Both
PROMO0185,P012,Anniversary Discount,15.0,2024-06-20,2024-06-30,Online
PROMO0186,P176,New Year Sale,15.0,2025-02-22,2025-03-07,In-Store
PROMO0187,P008,New Year Sale,29.0,2024-06-20,2024-06-28,Both
PROMO0188,P020,Festive Combo Offer,,2025-07-16,2025-07-22,Both
PROMO0189,P018,Buy More Save More,45.0,2024-06-27,2024-07-04,Both
PROMO0190,P090,Season Clearance,39.0,2025-01-03,2025-01-11,In-Store
