po_id,supplier_id,product_id,warehouse_id,order_date,expected_delivery_date,actual_delivery_date,order_qty,unit_cost,qty_received,qty_rejected,rejection_reason,po_status,calculated_total,mismatch,qty_mismatch_flag
PO000059,S006,P001,W02,2025-02-24,2025-03-04,2025-03-05,517,243.92,509,8.0,Expired/Near-Expiry,Delayed,517.0,False,False
PO000060,S006,P001,W02,2025-03-04,2025-03-12,2025-03-12,460,243.92,451,9.0,Damaged In Transit,Delivered,460.0,False,False
PO000061,S006,P001,W02,2025-03-11,2025-03-19,2025-03-19,388,243.92,381,7.0,Wrong Specification,Delivered,388.0,False,False
PO000062,S006,P001,W02,2025-03-18,2025-03-26,2025-03-26,245,243.92,237,,Quality Defect,Delivered,,True,True
PO000063,S006,P001,W02,2025-03-29,2025-04-06,2025-04-06,437,243.92,422,15.0,Expired/Near-Expiry,Delivered,437.0,False,False
PO000064,S006,P001,W02,2025-04-10,2025-04-18,2025-04-18,416,243.92,412,,Quality Defect,Delivered,,True,True
PO000065,S006,P001,W02,2025-04-20,2025-05-03,2025-05-04,411,243.92,410,,Wrong Specification,Delayed,,True,True
PO000066,S006,P001,W02,2025-04-29,2025-05-07,2025-05-08,533,243.92,526,7.0,Quality Defect,Delayed,533.0,False,False
PO000067,S006,P001,W02,2025-05-10,2025-05-25,2025-05-26,164,243.92,161,3.0,Expired/Near-Expiry,Delayed,164.0,False,False
PO000068,S006,P001,W02,2025-05-18,2025-05-26,2025-05-27,327,243.92,315,12.0,Wrong Specification,Delayed,327.0,False,False
PO000069,S006,P001,W02,2025-05-25,2025-06-02,2025-06-02,307,243.92,302,,Quality Defect,Delivered,,True,True
PO000070,S006,P001,W02,2025-06-06,2025-06-14,2025-06-14,381,243.92,374,7.0,Wrong Specification,Delivered,381.0,False,False
PO000071,S006,P001,W02,2025-06-15,2025-06-23,2025-06-25,563,243.92,554,9.0,Expired/Near-Expiry,Delayed,563.0,False,False
PO000072,S006,P001,W02,2025-06-27,2025-07-05,2025-07-05,307,243.92,304,3.0,Quality Defect,Delivered,307.0,False,False
PO000073,S006,P001,W02,2025-07-06,2025-07-14,2025-07-14,402,243.92,394,8.0,Wrong Specification,Delivered,402.0,False,False
PO000074,S006,P001,W02,2025-07-13,2025-07-21,2025-07-22,531,243.92,524,7.0,Wrong Specification,Delayed,531.0,False,False
PO000075,S006,P001,W02,2025-07-22,2025-07-30,2025-07-30,425,243.92,423,2.0,Expired/Near-Expiry,Delivered,425.0,False,False
PO000076,S006,P001,W02,2025-08-01,2025-08-09,2025-08-09,363,243.92,355,8.0,Expired/Near-Expiry,Delivered,363.0,False,False
PO000077,S006,P001,W02,2025-08-12,2025-08-20,2025-08-20,518,243.92,512,6.0,Expired/Near-Expiry,Delivered,518.0,False,False
PO000078,S006,P001,W02,2025-08-19,2025-08-27,2025-08-27,217,243.92,213,4.0,Expired/Near-Expiry,Delivered,217.0,False,False
PO000079,S006,P001,W02,2025-08-27,2025-09-04,2025-09-05,394,243.92,383,11.0,Damaged In Transit,Delayed,394.0,False,False
PO000080,S006,P001,W02,2025-09-06,2025-09-14,2025-09-14,419,243.92,410,9.0,Wrong Specification,Delivered,419.0,False,False
PO000081,S006,P001,W02,2025-09-14,2025-09-22,2025-09-23,309,243.92,300,9.0,Damaged In Transit,Delayed,309.0,False,False
PO000082,S006,P001,W02,2025-09-27,2025-10-05,2025-10-06,534,243.92,522,12.0,Expired/Near-Expiry,Delayed,534.0,False,False
PO000083,S006,P001,W02,2025-10-07,2025-10-15,2025-10-16,352,243.92,346,6.0,Expired/Near-Expiry,Delayed,352.0,False,False
PO000084,S006,P001,W02,2025-10-17,2025-10-25,2025-10-25,302,243.92,293,9.0,Quality Defect,Delivered,302.0,False,False
PO000085,S006,P001,W02,2025-10-26,2025-11-03,2025-11-03,335,243.92,325,10.0,Quality Defect,Delivered,335.0,False,False
PO000086,S006,P001,W02,2025-11-04,2025-11-12,2025-11-12,495,243.92,486,9.0,Damaged In Transit,Delivered,495.0,False,False
PO000087,S006,P001,W02,2025-11-13,2025-11-21,2025-11-24,500,243.92,486,14.0,Expired/Near-Expiry,Delayed,500.0,False,False
PO000088,S006,P001,W02,2025-11-20,2025-11-28,2025-11-28,288,243.92,281,7.0,Damaged In Transit,Delivered,288.0,False,False
PO000089,S006,P009X,W02,2025-12-03,2025-12-11,2025-12-11,435,243.92,424,11.0,Damaged In Transit,Delivered,435.0,False,False
PO000090,S006,P001,W02,2025-12-16,2025-12-24,2025-12-25,446,243.92,439,7.0,Wrong Specification,Delayed,446.0,False,False
PO000091,S006,P001,W02,2025-12-23,2025-12-31,2025-12-31,429,243.92,424,5.0,Wrong Specification,Delivered,429.0,False,False
PO000092,S006,P001,W03,2024-10-16,2024-10-24,2024-10-24,437,243.92,430,7.0,Wrong Specification,Delivered,437.0,False,False
PO000093,S006,P001,W03,2024-10-26,2024-11-03,2024-11-03,428,243.92,418,10.0,Quality Defect,Delivered,428.0,False,False
PO000094,S006,P001,W03,2024-11-06,2024-11-14,2024-11-14,462,243.92,449,13.0,Quality Defect,Delivered,462.0,False,False
PO000095,S006,P001,W03,2024-11-15,2024-11-23,2024-11-23,333,243.92,328,5.0,Damaged In Transit,Delivered,333.0,False,False
PO000096,S006,P001,W03,2024-11-25,2024-12-03,2024-12-04,478,243.92,470,8.0,Expired/Near-Expiry,Delayed,478.0,False,False
PO000097,S006,P001,W03,2024-12-04,2024-12-12,2024-12-13,269,243.92,264,5.0,Expired/Near-Expiry,Delayed,269.0,False,False
PO000098,S006,P001,W03,2024-12-15,2024-12-23,2024-12-24,552,243.92,541,11.0,Quality Defect,Delayed,552.0,False,False
PO000099,S006,P001,W03,2024-12-28,2025-01-05,2025-01-05,341,243.92,331,10.0,Quality Defect,Delivered,341.0,False,False
PO000100,S006,P001,W03,2025-01-10,2025-01-18,2025-01-19,325,243.92,297,,Quality Defect,Partial,,True,True
PO000101,S006,P001,W03,2025-01-23,2025-01-31,2025-01-31,516,243.92,510,6.0,Damaged In Transit,Delivered,516.0,False,False
PO000102,S006,P001,W03,2025-02-01,2025-02-09,2025-02-09,336,243.92,325,11.0,Expired/Near-Expiry,Delivered,336.0,False,False
PO000103,S006,P001,W03,2025-02-12,2025-02-20,2025-02-21,407,243.92,400,7.0,Quality Defect,Delayed,407.0,False,False
PO000104,S006,P001,W03,2025-02-25,2025-03-05,2025-03-06,490,243.92,481,9.0,Quality Defect,Delayed,490.0,False,False
PO000105,S006,P001,W03,2025-03-05,2025-03-13,2025-03-13,330,243.92,323,7.0,Wrong Specification,Delivered,330.0,False,False
PO000106,S006,P001,W03,2025-03-14,2025-03-22,2025-03-23,50,243.92,50,0.0,,Delayed,50.0,False,False
PO000107,S006,P001,W03,2025-03-22,2025-03-30,2025-03-31,427,243.92,420,7.0,Quality Defect,Delayed,427.0,False,False
PO000108,S006,P001,W03,2025-04-02,2025-04-10,2025-04-10,337,243.92,315,22.0,Expired/Near-Expiry,Partial,337.0,False,False
PO000109,S006,P001,W03,2025-04-14,2025-04-22,2025-04-22,404,243.92,395,9.0,Damaged In Transit,Delivered,404.0,False,False
PO000110,S006,P001,W03,2025-04-24,2025-05-02,2025-05-03,611,243.92,596,15.0,Wrong Specification,Delayed,611.0,False,False
PO000111,S006,P001,W03,2025-05-04,2025-05-12,2025-05-12,217,243.92,211,6.0,Expired/Near-Expiry,Delivered,217.0,False,False
PO000112,S006,P001,W03,2025-05-11,2025-05-19,2025-05-20,349,243.92,342,7.0,Damaged In Transit,Delayed,349.0,False,False
PO000113,S006,P001,W03,2025-05-18,2025-05-26,2025-05-27,485,243.92,473,12.0,Damaged In Transit,Delayed,485.0,False,False
PO000114,S006,P001,W03,2025-05-30,2025-06-07,2025-06-07,467,243.92,459,8.0,Quality Defect,Delivered,467.0,False,False
PO000115,S006,P001,W03,2025-06-11,2025-06-19,2025-06-22,276,243.92,269,7.0,Wrong Specification,Delayed,276.0,False,False
PO000116,S006,P001,W03,2025-06-18,2025-06-26,2025-06-26,184,243.92,179,5.0,Damaged In Transit,Delivered,184.0,False,False
PO000117,S006,P001,W03,2025-06-28,2025-07-06,2025-07-07,590,243.92,572,18.0,Quality Defect,Delayed,590.0,False,False
PO000118,S006,P001,W03,2025-07-10,2025-07-18,2025-07-19,509,243.92,501,8.0,Quality Defect,Delayed,509.0,False,False
PO000119,S006,P001,W03,2025-07-20,2025-07-28,2025-07-29,490,243.92,483,7.0,Quality Defect,Delayed,490.0,False,False
PO000120,S006,P001,W03,2025-08-01,2025-08-09,2025-08-10,391,243.92,382,9.0,Quality Defect,Delayed,391.0,False,False
PO000121,S006,P001,W03,2025-08-08,2025-08-16,2025-08-16,548,243.92,539,9.0,Quality Defect,Delivered,548.0,False,False
PO000122,S006,P001,W03,2025-08-20,2025-08-28,2025-08-29,297,243.92,292,5.0,Quality Defect,Delayed,297.0,False,False
PO000123,S006,P001,W03,2025-08-29,2025-09-06,2025-09-06,359,243.92,351,8.0,Wrong Specification,Delivered,359.0,False,False
PO000124,S006,P001,W03,2025-09-05,2025-09-13,2025-09-13,518,243.92,503,15.0,Quality Defect,Delivered,518.0,False,False
PO000125,S006,P001,W03,2025-09-15,2025-09-23,2025-09-23,445,243.92,435,10.0,Expired/Near-Expiry,Delivered,445.0,False,False
PO000126,S006,P001,W03,2025-09-23,2025-10-01,2025-10-06,478,243.92,468,,Damaged In Transit,Delayed,,True,True
PO000127,S006,P001,W03,2025-10-04,2025-10-12,2025-10-12,464,243.92,456,,Quality Defect,Delivered,,True,True
PO000128,S006,P001,W03,2025-10-12,2025-10-20,2025-10-20,397,243.92,391,6.0,Damaged In Transit,Delivered,397.0,False,False
PO000129,S006,P001,W03,2025-10-23,2025-10-31,2025-11-01,233,243.92,228,5.0,Damaged In Transit,Delayed,233.0,False,False
PO000130,S006,P001,W03,2025-11-01,2025-11-09,2025-11-12,298,243.92,295,3.0,Quality Defect,Delayed,298.0,False,False
PO000131,S006,P001,W03,2025-11-08,2025-11-16,2025-11-16,482,243.92,472,10.0,Damaged In Transit,Delivered,482.0,False,False
PO000132,S006,P001,W03,2025-11-21,2025-11-29,2025-12-01,533,243.92,493,40.0,Wrong Specification,Partial,533.0,False,False
PO000133,S006,P001,W03,2025-11-28,2025-12-06,2025-12-06,241,243.92,239,2.0,Quality Defect,Delivered,241.0,False,False
PO000134,S006,P001,W03,2025-12-08,2025-12-16,2025-12-16,317,243.92,312,5.0,Wrong Specification,Delivered,317.0,False,False
PO000135,S006,P001,W03,2025-12-17,2025-12-25,2025-12-09,509,243.92,501,8.0,Damaged In Transit,Delayed,509.0,False,False
PO000136,S015,P002,W01,2025-01-07,2025-01-22,2025-01-22,144,163.88,141,3.0,Expired/Near-Expiry,Delivered,144.0,False,False
PO000137,S015,P002,W01,2025-01-15,2025-01-30,2025-01-30,550,163.88,540,10.0,Wrong Specification,Delivered,550.0,False,False
PO000138,S015,P002,W01,2025-01-26,2025-02-10,2025-02-10,421,163.88,416,5.0,Wrong Specification,Delivered,421.0,False,False
PO000139,S015,P002,W01,2025-02-06,2025-02-21,2025-02-21,296,163.88,290,6.0,Quality Defect,Delivered,296.0,False,False
PO000140,S015,P002,W01,2025-02-14,2025-03-01,2025-03-01,282,163.88,278,4.0,Quality Defect,Delivered,282.0,False,False
PO000141,S015,P002,W01,2025-02-27,2025-03-14,2025-03-14,555,163.88,548,7.0,Wrong Specification,Delivered,555.0,False,False
PO000142,S015,P002,W01,2025-03-07,2025-03-22,2025-03-22,119,163.88,113,,Expired/Near-Expiry,Partial,,True,True
PO000143,S015,P002,W01,2025-03-14,2025-03-29,2025-03-29,238,163.88,234,4.0,Expired/Near-Expiry,Delivered,238.0,False,False
PO000144,S015,P002,W01,2025-03-22,2025-04-06,2025-04-06,443,163.88,433,10.0,Wrong Specification,Delivered,443.0,False,False
PO000145,S015,P002,W01,2025-04-01,2025-04-16,2025-04-17,481,163.88,474,7.0,Expired/Near-Expiry,Delayed,481.0,False,False
PO000146,S015,P002,W01,2025-04-09,2025-04-24,2025-04-24,351,163.88,343,8.0,Quality Defect,Delivered,351.0,False,False
PO000147,S015,P002,W01,2025-04-16,2025-05-17,2025-05-18,421,163.88,413,8.0,Damaged In Transit,Delayed,421.0,False,False
PO000148,S015,P002,W01,2025-04-28,2025-05-13,2025-05-14,455,163.88,447,8.0,Expired/Near-Expiry,Delayed,455.0,False,False
PO000149,S015,P002,W01,2025-05-08,2025-05-23,2025-05-24,514,163.88,506,8.0,Wrong Specification,Delayed,514.0,False,False
PO000150,S015,P002,W01,2025-05-15,2025-05-30,2025-05-31,285,163.88,279,6.0,Wrong Specification,Delayed,285.0,False,False
PO000151,S015,P002,W01,2025-05-25,2025-06-09,2025-06-09,433,163.88,423,10.0,Expired/Near-Expiry,Delivered,433.0,False,False
PO000152,S015,P002,W01,2025-06-04,2025-06-19,2025-06-20,662,163.88,654,8.0,Quality Defect,Delayed,662.0,False,False
PO000153,S015,P002,W01,2025-06-14,2025-06-29,2025-06-29,406,163.88,390,16.0,Quality Defect,Delivered,406.0,False,False
PO000154,S015,P002,W01,2025-06-26,2025-07-11,2025-07-11,530,163.88,521,9.0,Quality Defect,Delivered,530.0,False,False
PO000155,S015,P002,W01,2025-07-09,2025-07-24,2025-07-25,404,163.88,394,10.0,Quality Defect,Delayed,404.0,False,False
PO000156,S015,P002,W01,2025-07-19,2025-08-03,2025-08-04,474,163.88,466,8.0,Damaged In Transit,Delayed,474.0,False,False
PO000157,S015,P002,W01,2025-07-27,2025-08-11,2025-08-11,328,163.88,325,3.0,Damaged In Transit,Delivered,328.0,False,False
PO000158,S015,P002,W01,2025-08-05,2025-08-20,2025-08-20,294,163.88,283,11.0,Quality Defect,Delivered,294.0,False,False
PO000159,S015,P002,W01,2025-08-16,2025-08-31,2025-08-31,403,163.88,390,13.0,Expired/Near-Expiry,Delivered,403.0,False,False
PO000160,S015,P002,W01,2025-08-28,2025-09-12,2025-09-12,511,163.88,501,10.0,Wrong Specification,Delivered,511.0,False,False
PO000161,S015,P002,W01,2025-09-07,2025-09-22,2025-09-23,576,163.88,566,10.0,Damaged In Transit,Delayed,576.0,False,False
PO000162,S015,P002,W01,2025-09-17,2025-10-02,2025-10-02,585,163.88,577,8.0,Quality Defect,Delivered,585.0,False,False
PO000163,S015,P002,W01,2025-09-28,2025-10-13,2025-10-13,465,163.88,459,6.0,Damaged In Transit,Delivered,465.0,False,False
PO000164,S015,P002,W01,2025-10-06,2025-10-21,2025-10-21,299,163.88,293,6.0,Damaged In Transit,Delivered,299.0,False,False
PO000165,S015,P002,W01,2025-10-19,2025-11-03,2025-11-03,600,163.88,587,13.0,Quality Defect,Delivered,600.0,False,False
PO000166,S015,P002,W01,2025-11-01,2025-11-28,2025-11-28,361,163.88,357,4.0,Damaged In Transit,Delivered,361.0,False,False
PO000167,S015,P002,W01,2025-11-09,2025-11-24,2025-11-27,133,163.88,131,,Damaged In Transit,Delayed,,True,True
PO000168,S015,P002,W01,2025-11-18,2025-12-03,2025-12-03,423,163.88,412,11.0,Quality Defect,Delivered,423.0,False,False
PO000169,S015,P002,W01,2025-11-28,2025-12-13,2025-12-13,449,163.88,447,2.0,Damaged In Transit,Delivered,449.0,False,False
PO000170,S015,P002,W01,2025-12-09,2025-12-24,2025-12-25,558,163.88,552,6.0,Damaged In Transit,Delayed,558.0,False,False
PO000171,S015,P002,W01,2025-12-19,2026-01-03,,313,163.88,0,0.0,Quality Defect,Pending,0.0,True,True
PO000172,S015,P002,W01,2025-12-26,2026-01-10,,296,163.88,0,0.0,Damaged In Transit,Pending,0.0,True,True
PO000173,S015,P002,W02,2025-01-07,2025-01-22,2025-01-22,707,163.88,695,12.0,Quality Defect,Delivered,707.0,False,False
PO000174,S015,P002,W02,2025-01-16,2025-01-31,2025-01-31,366,163.88,360,6.0,Quality Defect,Delivered,366.0,False,False
PO000175,S015,P002,W02,2025-01-25,2025-02-09,2025-02-09,560,163.88,549,11.0,Wrong Specification,Delivered,560.0,False,False
PO000176,S015,P002,W02,2025-02-02,2025-02-17,2025-02-18,401,163.88,396,5.0,Damaged In Transit,Delayed,401.0,False,False
PO000177,S015,P002,W02,2025-02-13,2025-02-28,2025-02-28,488,163.88,484,4.0,Expired/Near-Expiry,Delivered,488.0,False,False
PO000178,S015,P002,W02,2025-02-26,2025-03-13,2025-03-13,554,163.88,543,11.0,Expired/Near-Expiry,Delivered,554.0,False,False
PO000179,S015,P002,W02,2025-03-07,2025-03-22,2025-03-22,326,163.88,319,7.0,Quality Defect,Delivered,326.0,False,False
PO000180,S015,P002,W02,2025-03-14,2025-03-29,2025-03-30,388,163.88,380,8.0,Damaged In Transit,Delayed,388.0,False,False
PO000181,S015,P002,W02,2025-03-27,2025-04-11,2025-04-11,532,163.88,507,25.0,Quality Defect,Delivered,532.0,False,False
PO000182,S015,P002,W02,2025-04-09,2025-04-24,2025-04-25,255,163.88,251,,Damaged In Transit,Delayed,,True,True
PO000183,S015,P002,W02,2025-04-19,2025-05-04,2025-05-04,404,163.88,381,23.0,Expired/Near-Expiry,Partial,404.0,False,False
PO000184,S015,P002,W02,2025-04-27,2025-05-12,2025-05-12,103,163.88,102,1.0,Damaged In Transit,Delivered,103.0,False,False
PO000185,S015,P002,W02,2025-05-09,2025-05-24,2025-05-25,464,163.88,453,11.0,Wrong Specification,Delayed,464.0,False,False
PO000186,S015,P002,W02,2025-05-21,2025-06-05,2025-06-06,396,163.88,393,3.0,Quality Defect,Delayed,396.0,False,False
PO000187,S015,P002,W02,2025-05-30,2025-06-14,2025-06-15,549,163.88,535,14.0,Expired/Near-Expiry,Delayed,549.0,False,False
PO000188,S015,P002,W02,2025-06-07,2025-06-22,2025-06-22,546,163.88,529,17.0,Quality Defect,Delivered,546.0,False,False
PO000189,S015,P002,W02,2025-06-14,2025-06-29,2025-06-29,548,163.88,534,14.0,Damaged In Transit,Delivered,548.0,False,False
PO000190,S015,P002,W02,2025-06-26,2025-07-11,2025-07-11,372,163.88,365,7.0,Wrong Specification,Delivered,372.0,False,False
PO000191,S015,P002,W02,2025-07-06,2025-07-21,2025-07-22,210,163.88,210,0.0,,Delayed,210.0,False,False
PO000192,S015,P002,W02,2025-07-13,2025-07-28,2025-07-28,465,163.88,458,7.0,Wrong Specification,Delivered,465.0,False,False
PO000193,S015,P002,W02,2025-07-26,2025-08-10,2025-08-10,618,163.88,602,16.0,Damaged In Transit,Delivered,618.0,False,False
PO000194,S015,P002,W02,2025-08-05,2025-08-20,2025-08-20,437,163.88,422,15.0,Quality Defect,Delivered,437.0,False,False
PO000195,S015,P002,W02,2025-08-16,2025-08-31,2025-09-01,365,163.88,361,4.0,Quality Defect,Delayed,365.0,False,False
PO000196,S015,P002,W02,2025-08-27,2025-09-11,2025-09-12,372,163.88,369,3.0,Damaged In Transit,Delayed,372.0,False,False
PO000197,S015,P002,W02,2025-09-03,2025-09-18,2025-09-21,427,163.88,419,8.0,Quality Defect,Delayed,427.0,False,False
PO000198,S015,P002,W02,2025-09-13,2025-09-28,2025-09-29,63,163.88,62,1.0,Quality Defect,Delayed,63.0,False,False
PO000199,S015,P002,W02,2025-09-26,2025-10-11,2025-10-11,342,163.88,336,6.0,Quality Defect,Delivered,342.0,False,False
PO000200,S015,P002,W02,2025-10-04,2025-10-19,2025-10-19,410,163.88,404,6.0,Expired/Near-Expiry,Delivered,410.0,False,False
PO000201,S015,P002,W02,2025-10-16,2025-10-31,2025-10-31,608,163.88,597,,Quality Defect,Delivered,,True,True
PO000202,S015,P002,W02,2025-10-27,2025-11-11,2025-11-11,266,163.88,257,9.0,Quality Defect,Delivered,266.0,False,False
