shipment_id,warehouse_id,store_id,carrier_id,dispatch_date,expected_arrival_date,actual_arrival_date,distance_km,shipment_cost,shipment_status,store_id_invalid_flag
SH000024,W03,ST01,CR04,2024-03-16,2024-03-17,2024-03-17,31.5,2164.82,On-time,False
SH000025,W03,ST01,CR03,2024-03-19,2024-03-20,2024-03-24,17.6,1075.64,Delayed,False
SH000026,W03,ST01,CR02,2024-03-23,2024-03-24,2024-03-26,26.3,1593.96,Delayed,False
SH000027,W03,ST01,CR02,2024-03-25,2024-03-26,2024-03-26,17.6,1277.26,On-time,False
SH000028,W03,ST01,CR03,2024-03-27,2024-03-28,2024-03-28,9.9,927.86,On-time,False
SH000029,W03,ST01,CR03,2024-03-29,2024-03-30,2024-03-30,31.8,1711.46,On-time,False
SH000030,W03,ST01,CR05,2024-04-01,2024-04-02,2024-04-02,24.8,1512.05,On-time,False
SH000031,W03,ST01,CR03,2024-04-04,2024-04-05,2024-04-05,31.3,1722.14,On-time,False
SH000032,W03,ST01,CR01,2024-04-07,2024-04-08,2024-04-08,5.8,626.55,On-time,False
SH000033,W03,ST01,CR05,2024-04-11,2024-04-12,2024-04-12,9.5,990.48,On-time,False
SH000034,W03,ST01,CR03,2024-04-13,2024-04-14,2024-04-14,26.3,1967.42,On-time,False
SH000035,W02,ST01,CR01,2024-04-17,2024-04-20,2024-04-22,417.6,16882.32,Delayed,False
SH000036,W03,ST01,CR03,2024-04-21,2024-04-22,2024-04-22,20.3,1352.09,On-time,False
SH000037,W01,ST01,CR05,2024-04-25,2024-04-27,2024-04-27,210.3,9114.21,On-time,False
SH000038,W01,ST01,CR02,2024-04-28,2024-04-30,2024-05-03,210.3,12374.66,Delayed,False
SH000039,W02,ST01,CR03,2024-05-01,2024-05-04,2024-05-05,417.6,17397.66,Delayed,False
SH000040,W03,ST01,CR03,2024-05-05,2024-05-06,2024-05-07,12.1,839.52,Damaged,False
SH000041,W03,ST01,CR04,2024-05-09,2024-05-10,2024-05-10,30.9,1529.41,On-time,False
SH000042,W03,ST01,CR02,2024-05-11,2024-05-12,2024-05-15,29.6,1992.86,Delayed,False
SH000043,W03,ST01,CR02,2024-05-15,2024-05-16,2024-05-16,16.8,1030.16,On-time,False
SH000044,W03,ST01,CR05,2024-05-18,2024-05-19,2024-05-19,12.8,730.1,On-time,False
SH000045,W03,ST01,CR05,2024-05-22,2024-05-23,2024-05-23,19.9,1296.45,On-time,False
SH000046,W03,ST01,CR02,2024-05-25,2024-05-26,2024-05-26,12.8,1187.93,On-time,False
SH000047,W03,ST01,CR05,2024-05-29,2024-05-30,2024-05-30,16.5,1035.19,On-time,False
SH000048,W03,ST01,CR04,2024-05-31,2024-06-01,2024-06-01,29.4,1605.57,On-time,False
SH000049,W03,ST01,CR04,2024-06-03,2024-06-04,2024-06-04,9.1,574.48,On-time,False
SH000050,W03,ST01,CR01,2024-06-05,2024-06-06,2024-06-06,17.5,1381.69,On-time,False
SH000051,W03,ST01,CR02,2024-06-09,2024-06-10,2024-06-10,13.4,1148.68,On-time,False
SH000052,W03,ST01,CR04,2024-06-12,2024-06-13,2024-06-15,32.7,1604.68,Delayed,False
SH000053,W03,ST01,CR01,2024-06-14,2024-06-15,2024-06-15,24.5,1849.25,On-time,False
SH000054,W03,ST01,CR03,2024-06-17,2024-06-18,2024-06-19,30.8,1807.95,Delayed,False
SH000055,W03,ST01,CR01,2024-06-19,2024-06-20,2024-06-21,10.9,1052.27,Delayed,False
SH000056,W03,ST01,CR05,2024-06-23,2024-06-24,2024-06-24,31.7,2178.61,On-time,False
SH000057,W03,ST01,CR02,2024-06-27,2024-06-28,2024-06-28,8.1,572.79,Damaged,False
SH000058,W03,ST01,CR01,2024-06-30,2024-07-01,2024-07-01,23.0,1288.09,On-time,False
SH000059,W03,ST01,CR01,2024-07-02,2024-07-03,2024-07-03,17.5,902.11,On-time,False
SH000060,W03,ST01,CR01,2024-07-05,2024-07-06,2024-07-06,27.8,1936.4,On-time,False
SH000061,W03,ST01,CR05,2024-07-09,2024-07-10,2024-07-10,14.6,789.49,On-time,False
SH000062,W03,ST01,CR05,2024-07-12,2024-07-13,2024-07-13,6.0,997.85,On-time,False
SH000063,W03,ST01,CR03,2024-07-14,2024-07-15,2024-07-19,14.5,863.94,Delayed,False
SH000064,W01,ST01,CR05,2024-07-18,2024-07-20,2024-07-20,210.3,10561.28,On-time,False
SH000065,W03,ST01,CR03,2024-07-22,2024-07-23,2024-07-25,33.0,1737.46,Delayed,False
SH000066,W03,ST01,CR03,2024-07-24,2024-07-25,2024-07-25,23.1,1645.95,On-time,False
SH000067,W03,ST01,CR05,2024-07-28,2024-07-29,2024-07-29,6.4,,On-time,False
SH000068,W03,ST01,CR01,2024-07-31,2024-08-01,2024-08-03,31.2,2141.07,Delayed,False
SH000069,W03,ST01,CR05,2024-08-02,2024-08-03,2024-08-03,21.6,2270.09,Damaged,False
SH000070,W02,ST01,CR04,2024-08-05,2024-08-08,2024-08-09,417.6,24979.57,Delayed,False
SH000071,W03,ST01,CR01,2024-08-09,2024-08-10,2024-08-10,27.1,1695.43,On-time,False
SH000072,W03,ST01,CR02,2024-08-13,2024-08-14,2024-08-14,10.1,1096.02,On-time,False
SH000073,W03,ST01,CR01,2024-08-17,2024-08-18,2024-08-22,9.4,615.63,Delayed,False
SH000074,W03,ST01,CR02,2024-08-21,2024-08-22,2024-08-25,14.7,1030.62,Delayed,False
SH000075,W03,ST01,CR05,2024-08-24,2024-08-25,2024-08-25,6.0,655.54,On-time,False
SH000076,W03,ST01,CR05,2024-08-27,2024-08-28,2024-08-30,33.9,2052.12,Delayed,False
SH000077,W03,ST01,CR01,2024-08-30,2024-08-31,2024-08-31,25.4,1538.32,On-time,False
SH000078,W03,ST01,CR03,2024-09-02,2024-09-03,2024-09-03,21.6,1527.57,On-time,False
SH000079,W03,ST01,CR05,2024-09-04,2024-09-05,2024-09-07,14.1,1178.34,Delayed,False
SH000080,W03,ST01,CR02,2024-09-07,2024-09-08,2024-09-11,30.5,1761.93,Delayed,False
SH000081,W03,ST01,CR03,2024-09-10,2024-09-11,2024-09-11,18.9,1488.37,On-time,False
SH000082,W03,ST01,CR02,2024-09-13,2024-09-14,2024-09-15,30.8,1627.25,Delayed,False
SH000083,W03,ST01,CR03,2024-09-17,2024-09-18,2024-09-18,10.2,946.59,On-time,False
SH000084,W03,ST01,CR02,2024-09-21,2024-09-22,2024-09-25,19.1,1157.57,Delayed,False
SH000085,W03,ST01,CR01,2024-09-24,2024-09-25,2024-09-25,12.3,682.51,On-time,False
SH000086,W03,ST01,CR04,2024-09-27,2024-09-28,2024-09-28,9.5,1206.0,On-time,False
SH000087,W01,ST01,CR03,2024-10-01,2024-10-03,2024-10-03,210.3,9258.03,On-time,False
SH000088,W03,ST01,CR02,2024-10-03,2024-10-04,2024-10-04,14.2,1168.78,On-time,False
SH000089,W02,ST01,CR04,2024-10-07,2024-10-10,2024-10-11,417.6,16742.21,Delayed,False
SH000090,W03,ST01,CR03,2024-10-10,2024-10-11,2024-10-11,33.5,,On-time,False
SH000091,W03,ST01,CR01,2024-10-14,2024-10-15,2024-10-15,33.8,1684.95,On-time,False
SH000092,W03,ST01,CR04,2024-10-17,2024-10-18,2024-10-18,11.2,1461.22,On-time,False
SH000093,W03,ST01,CR02,2024-10-21,2024-10-22,2024-10-22,19.9,1133.86,On-time,False
SH000094,W03,ST01,CR04,2024-10-25,2024-10-26,2024-10-26,32.5,1861.46,On-time,False
SH000095,W03,ST01,CR05,2024-10-28,2024-10-29,2024-10-29,15.1,1407.77,On-time,False
SH000096,W03,ST01,CR05,2024-10-30,2024-10-31,2024-10-31,11.4,1433.77,On-time,False
SH000097,W03,ST01,CR05,2024-11-02,2024-11-03,2024-11-03,33.3,2123.5,On-time,False
SH000098,W03,ST01,CR05,2024-11-04,2024-11-05,2024-11-05,13.7,1004.68,On-time,False
SH000099,W02,ST01,CR04,2024-11-06,2024-11-09,2024-11-09,417.6,18695.1,On-time,False
SH000100,W03,ST01,CR02,2024-11-08,2024-11-09,2024-11-09,9.0,710.0,On-time,False
SH000101,W03,ST01,CR01,2024-11-12,2024-11-13,2024-11-13,7.3,1020.78,On-time,False
SH000102,W03,ST01,CR02,2024-11-14,2024-11-15,2024-11-15,12.1,1167.38,On-time,False
SH000103,W03,ST01,CR03,2024-11-16,2024-11-17,2024-11-17,32.0,1941.45,On-time,False
SH000104,W03,ST01,CR01,2024-11-20,2024-11-21,2024-11-21,25.2,1790.27,On-time,False
SH000105,W03,ST01,CR01,2024-11-23,2024-11-24,2024-11-24,26.5,1441.17,On-time,False
SH000106,W03,ST01,CR04,2024-11-27,2024-11-28,2024-11-28,24.6,1715.45,On-time,False
SH000107,W03,ST01,CR02,2024-11-30,2024-12-01,2024-12-01,25.0,1849.18,On-time,False
SH000108,W03,ST01,CR02,2024-12-04,2024-12-05,2024-12-05,29.7,1807.62,On-time,False
SH000109,W03,ST01,CR05,2024-12-07,2024-12-08,2024-12-08,13.7,900.75,On-time,False
SH000110,W03,ST01,CR05,2024-12-10,2024-12-11,2024-12-11,20.0,1177.64,On-time,False
SH000111,W02,ST01,CR03,2024-12-12,2024-12-15,2024-12-15,417.6,24256.24,On-time,False
SH000112,W03,ST01,CR03,2024-12-16,2024-12-17,2024-12-20,19.9,1683.56,Delayed,False
SH000113,W01,ST01,CR03,2024-12-18,2024-12-20,2024-12-20,210.3,11031.54,On-time,False
SH000114,W03,ST01,CR02,2024-12-22,2024-12-23,2024-12-23,29.1,1620.56,On-time,False
SH000115,W03,ST01,CR05,2024-12-24,2024-12-25,2024-12-25,32.4,1811.82,On-time,False
SH000116,W03,ST01,CR05,2024-12-27,2024-12-28,2024-12-28,12.2,1147.04,Lost,False
SH000117,W01,ST01,CR05,2024-12-30,2025-01-01,2025-01-01,210.3,10812.66,On-time,False
SH000118,W03,ST01,CR02,2025-01-01,2025-01-02,2025-01-02,9.0,,On-time,False
SH000119,W03,ST01,CR03,2025-01-05,2025-01-06,2025-01-06,9.3,883.62,On-time,False
SH000120,W03,ST99,CR04,2025-01-08,2025-01-09,2025-01-09,21.1,,On-time,True
SH000121,W03,ST01,CR01,2025-01-11,2025-01-12,2025-01-12,34.1,2289.72,On-time,False
SH000122,W03,ST01,CR05,2025-01-13,2025-01-14,2025-01-14,12.2,1088.72,On-time,False
SH000123,W03,ST01,CR05,2025-01-16,2025-01-17,2025-01-17,21.4,1292.98,On-time,False
SH000124,W03,ST01,CR01,2025-01-19,2025-01-20,2025-01-20,21.8,1213.84,On-time,False
SH000125,W03,ST01,CR04,2025-01-22,2025-01-23,2025-01-23,18.5,1140.17,On-time,False
SH000126,W03,ST01,CR02,2025-01-24,2025-01-25,2025-01-25,8.9,667.06,On-time,False
SH000127,W03,ST01,CR05,2025-01-27,2025-01-28,2025-01-28,15.2,1037.65,On-time,False
SH000128,W03,ST01,CR01,2025-01-30,2025-01-31,2025-01-31,29.7,1908.41,On-time,False
SH000129,W03,ST01,CR01,2025-02-02,2025-02-03,2025-02-03,20.1,2168.51,On-time,False
SH000130,W03,ST01,CR04,2025-02-04,2025-02-05,2025-02-05,10.2,1044.66,On-time,False
SH000131,W03,ST01,CR04,2025-02-06,2025-02-07,2025-02-07,15.3,1151.21,On-time,False
SH000132,W03,ST01,CR02,2025-02-08,2025-02-09,2025-02-09,33.9,1615.5,On-time,False
SH000133,W03,ST01,CR01,2025-02-12,2025-02-13,2025-02-13,16.5,1202.47,On-time,False
SH000134,W01,ST01,CR02,2025-02-15,2025-02-17,2025-02-19,210.3,9690.39,Delayed,False
SH000135,W03,ST01,CR05,2025-02-19,2025-02-20,2025-02-20,26.5,1872.67,On-time,False
SH000136,W01,ST01,CR02,2025-02-22,2025-02-24,2025-02-27,210.3,9600.59,Delayed,False
SH000137,W03,ST01,CR05,2025-02-25,2025-02-26,2025-02-26,33.3,1579.95,On-time,False
SH000138,W03,ST01,CR03,2025-03-01,2025-03-02,2025-03-02,10.1,879.53,Lost,False
SH000139,W03,ST01,CR03,2025-03-04,2025-03-05,2025-03-05,13.9,1202.74,On-time,False
SH000140,W03,ST01,CR01,2025-03-08,2025-03-09,2025-03-09,30.1,1882.78,On-time,False
SH000141,W03,ST01,CR01,2025-03-10,2025-03-11,2025-03-11,24.5,1730.12,On-time,False
SH000142,W03,ST01,CR03,2025-03-13,2025-03-14,2025-03-14,33.0,2241.35,On-time,False
SH000143,W03,ST01,CR02,2025-03-17,2025-03-18,2025-03-20,33.2,2099.51,Delayed,False
SH000144,W03,ST01,CR02,2025-03-21,2025-03-22,2025-03-23,17.4,1465.8,Delayed,False
SH000145,W03,ST01,CR01,2025-03-25,2025-03-26,2025-03-26,15.5,1572.5,Damaged,False
SH000146,W03,ST01,CR01,2025-03-28,2025-03-29,2025-03-29,10.4,754.19,On-time,False
SH000147,W03,ST01,CR01,2025-04-01,2025-04-02,2025-04-02,34.9,2120.51,On-time,False
SH000148,W03,ST01,CR01,2025-04-05,2025-04-06,2025-04-06,20.7,1517.76,On-time,False
SH000149,W02,ST01,CR02,2025-04-07,2025-04-10,2025-04-10,417.6,22974.99,On-time,False
SH000150,W03,ST01,CR04,2025-04-11,2025-04-12,2025-04-12,5.0,947.6,On-time,False
SH000151,W03,ST01,CR02,2025-04-13,2025-04-14,2025-04-14,9.0,648.03,On-time,False
SH000152,W03,ST01,CR02,2025-04-17,2025-04-18,2025-04-18,13.6,1057.31,On-time,False
SH000153,W03,ST01,CR05,2025-04-21,2025-04-22,2025-04-22,31.8,1604.44,On-time,False
SH000154,W03,ST01,CR02,2025-04-24,2025-04-25,2025-04-25,7.0,795.36,On-time,False
SH000155,W02,ST01,CR04,2025-04-27,2025-04-30,2025-05-03,417.6,18231.59,Delayed,False
SH000156,W03,ST01,CR03,2025-05-01,2025-05-02,2025-05-05,32.2,2079.07,Delayed,False
SH000157,W03,ST01,CR01,2025-05-04,2025-05-05,2025-05-05,16.2,1116.13,On-time,False
SH000158,W03,ST01,CR03,2025-05-06,2025-05-07,2025-05-07,19.7,1488.93,On-time,False
SH000159,W03,ST01,CR05,2025-05-08,2025-05-09,2025-05-09,21.8,1839.54,On-time,False
SH000160,W03,ST01,CR03,2025-05-11,2025-05-12,2025-05-16,20.0,,Delayed,False
SH000161,W03,ST01,CR03,2025-05-14,2025-05-15,2025-05-15,17.1,1197.98,On-time,False
SH000162,W03,ST01,CR04,2025-05-18,2025-05-19,2025-05-19,11.6,1275.28,On-time,False
SH000163,W03,ST01,CR02,2025-05-21,2025-05-22,2025-05-22,16.1,1208.74,On-time,False
SH000164,W03,ST01,CR02,2025-05-25,2025-05-26,2025-05-29,9.4,847.58,Delayed,False
SH000165,W03,ST01,CR05,2025-05-28,2025-05-29,2025-05-29,16.5,999.13,On-time,False
SH000166,W03,ST01,CR05,2025-06-01,2025-06-02,2025-06-02,34.6,2008.83,On-time,False
SH000167,W03,ST01,CR02,2025-06-05,2025-06-06,2025-06-06,16.0,1228.85,On-time,False
SH000168,W03,ST01,CR02,2025-06-07,2025-06-08,2025-06-08,10.9,,On-time,False
SH000169,W03,ST01,CR05,2025-06-11,2025-06-12,2025-06-12,10.5,1073.7,On-time,False
SH000170,W03,ST01,CR01,2025-06-14,2025-06-15,2025-06-15,32.6,2240.15,On-time,False
SH000171,W03,ST01,CR05,2025-06-16,2025-06-17,2025-06-17,35.0,1999.22,On-time,False
SH000172,W03,ST01,CR04,2025-06-20,2025-06-21,2025-06-25,34.6,2329.78,Delayed,False
SH000173,W03,ST01,CR02,2025-06-24,2025-06-25,2025-06-25,19.8,2215.94,On-time,False
SH000174,W03,ST01,CR02,2025-06-28,2025-06-29,2025-06-29,12.5,912.05,On-time,False
SH000175,W03,ST01,CR04,2025-07-02,2025-07-03,2025-07-03,23.3,1295.76,On-time,False
SH000176,W03,ST01,CR01,2025-07-06,2025-07-07,2025-07-07,17.6,1107.18,On-time,False
SH000177,W03,ST01,CR02,2025-07-09,2025-07-10,2025-07-10,22.4,1559.73,On-time,False
SH000178,W01,ST01,CR02,2025-07-13,2025-07-15,2025-07-19,210.3,8625.28,Delayed,False
SH000179,W03,ST01,CR01,2025-07-17,2025-07-18,2025-07-18,11.0,1133.15,On-time,False
SH000180,W01,ST01,CR03,2025-07-21,2025-07-23,2025-07-27,210.3,9974.64,Delayed,False
SH000181,W03,ST01,CR05,2025-07-23,2025-07-24,2025-07-24,20.7,1453.53,On-time,False
SH000182,W03,ST01,CR01,2025-07-27,2025-07-28,2025-07-30,27.9,1691.37,Delayed,False
SH000183,W03,ST01,CR04,2025-07-30,2025-07-31,2025-08-03,30.9,2317.21,Delayed,False
SH000184,W03,ST01,CR04,2025-08-03,2025-08-04,2025-08-08,12.9,1062.83,Delayed,False
SH000185,W03,ST01,CR01,2025-08-07,2025-08-08,2025-08-08,13.9,889.91,On-time,False
SH000186,W03,ST01,CR04,2025-08-09,2025-08-10,2025-08-10,30.9,,On-time,False
SH000187,W03,ST01,CR05,2025-08-12,2025-08-13,2025-08-13,13.9,1386.24,Lost,False
SH000188,W03,ST01,CR02,2025-08-15,2025-08-16,2025-08-16,32.2,1928.85,On-time,False
SH000189,W03,ST01,CR02,2025-08-19,2025-08-20,2025-08-20,12.0,987.92,On-time,False
SH000190,W03,ST01,CR05,2025-08-22,2025-08-23,2025-08-23,13.1,1255.9,On-time,False
SH000191,W03,ST01,CR04,2025-08-26,2025-08-27,2025-08-27,13.8,1111.17,Lost,False
SH000192,W03,ST01,CR01,2025-08-30,2025-08-31,2025-08-31,22.2,1284.13,On-time,False
SH000193,W03,ST01,CR03,2025-09-01,2025-09-02,2025-09-02,15.8,2048.12,Damaged,False
SH000194,W03,ST01,CR01,2025-09-04,2025-09-05,2025-09-05,31.8,1907.07,On-time,False
SH000195,W02,ST01,CR02,2025-09-07,2025-09-10,2025-09-13,417.6,22370.47,Delayed,False
SH000196,W03,ST01,CR01,2025-09-11,2025-09-12,2025-09-15,21.1,1739.35,Delayed,False
SH000197,W03,ST01,CR01,2025-09-14,2025-09-15,2025-09-15,14.8,1069.36,On-time,False
SH000198,W03,ST01,CR03,2025-09-16,2025-09-17,2025-09-17,28.8,,On-time,False
SH000199,W03,ST01,CR02,2025-09-18,2025-09-19,2025-09-19,22.8,1556.06,On-time,False
SH000200,W01,ST01,CR03,2025-09-22,2025-09-24,2025-09-24,210.3,10486.99,On-time,False
SH000201,W03,ST01,CR02,2025-09-26,2025-09-27,2025-09-27,33.9,1647.18,On-time,False
SH000202,W03,ST01,CR01,2025-09-30,2025-10-01,2025-10-01,33.3,2007.62,On-time,False
SH000203,W03,ST01,CR02,2025-10-03,2025-10-04,2025-10-04,9.1,1059.13,On-time,False
SH000204,W02,ST01,CR05,2025-10-07,2025-10-10,2025-10-10,417.6,18981.44,On-time,False
SH000205,W03,ST01,CR05,2025-10-10,2025-10-11,2025-10-11,23.6,1683.51,On-time,False
SH000206,W03,ST01,CR01,2025-10-14,2025-10-15,2025-10-15,11.0,834.74,On-time,False
SH000207,W03,ST01,CR01,2025-10-16,2025-10-17,2025-10-17,13.5,1296.72,On-time,False
SH000208,W03,ST01,CR04,2025-10-18,2025-10-19,2025-10-19,32.4,1682.75,On-time,False
SH000209,W03,ST01,CR01,2025-10-22,2025-10-23,2025-10-24,5.7,638.3,Delayed,False
SH000210,W03,ST01,CR05,2025-10-25,2025-10-26,2025-10-26,13.6,1095.94,On-time,False
SH000211,W03,ST01,CR02,2025-10-28,2025-10-29,2025-10-31,15.7,1167.78,Delayed,False
SH000212,W03,ST01,CR02,2025-11-01,2025-11-02,2025-11-05,6.2,650.49,Delayed,False
SH000213,W03,ST01,CR02,2025-11-04,2025-11-05,2025-11-05,20.3,1264.39,On-time,False
SH000214,W03,ST01,CR05,2025-11-07,2025-11-08,2025-11-08,12.4,1034.35,On-time,False
SH000215,W03,ST01,CR02,2025-11-11,2025-11-12,2025-11-16,13.2,1127.65,Delayed,False
SH000216,W03,ST01,CR03,2025-11-15,2025-11-16,2025-11-16,8.1,961.78,On-time,False
SH000217,W03,ST01,CR03,2025-11-18,2025-11-19,2025-11-19,20.7,1160.44,On-time,False
SH000218,W01,ST01,CR03,2025-11-21,2025-11-23,2025-11-23,210.3,10033.61,On-time,False
SH000219,W03,ST01,CR01,2025-11-24,2025-11-25,2025-11-25,8.1,667.08,On-time,False
SH000220,W03,ST01,CR05,2025-11-27,2025-11-28,2025-11-28,24.4,1614.21,On-time,False
SH000221,W03,ST99,CR02,2025-12-01,2025-12-02,2025-12-02,9.6,816.26,On-time,True
SH000222,W03,ST01,CR03,2025-12-05,2025-12-06,2025-12-06,13.6,1125.72,On-time,False
SH000223,W03,ST01,CR05,2025-12-07,2025-12-08,2025-12-08,20.0,1294.72,On-time,False
SH000224,W03,ST01,CR02,2025-12-11,2025-12-12,2025-12-12,26.8,1723.38,On-time,False
SH000225,W03,ST01,CR03,2025-12-13,2025-12-14,2025-12-14,8.6,904.49,On-time,False
SH000226,W03,ST01,CR01,2025-12-17,2025-12-18,2025-12-18,25.5,1543.75,On-time,False
SH000227,W03,ST01,CR01,2025-12-19,2025-12-20,2025-12-20,9.7,916.51,On-time,False
SH000228,W03,ST01,CR01,2025-12-22,2025-12-23,2025-12-23,19.4,1347.66,On-time,False
SH000229,W03,ST01,CR01,2025-12-25,2025-12-26,2025-12-26,23.6,1476.03,On-time,False
SH000230,W03,ST01,CR01,2025-12-29,2025-12-30,2025-12-30,34.7,1943.75,On-time,False
SH000231,W02,ST02,CR01,2024-01-04,2024-01-05,2024-01-05,20.5,1589.13,On-time,False
SH000232,W02,ST02,CR05,2024-01-05,2024-01-06,2024-01-06,27.7,1720.72,On-time,False
SH000233,W03,ST02,CR03,2024-01-07,2024-01-10,2024-01-14,417.6,18996.44,Delayed,False
SH000234,W02,ST02,CR02,2024-01-08,2024-01-09,2024-01-09,22.9,1455.55,On-time,False
SH000235,W02,ST02,CR03,2024-01-10,2024-01-11,2024-01-11,10.1,968.99,On-time,False
SH000236,W02,ST02,CR05,2024-01-11,2024-01-12,2024-01-12,14.5,882.36,On-time,False
SH000237,W02,ST02,CR01,2024-01-13,2024-01-14,2024-01-14,15.7,1041.92,On-time,False
SH000238,W01,ST02,CR02,2024-01-15,2024-01-17,2024-01-17,221.4,10652.46,On-time,False
SH000239,W02,ST02,CR02,2024-01-16,2024-01-17,2024-01-17,24.2,1830.58,On-time,False
SH000240,W02,ST02,CR05,2024-01-18,2024-01-19,2024-01-19,17.3,,On-time,False
SH000241,W02,ST02,CR05,2024-01-19,2024-01-20,2024-01-20,27.8,1976.78,On-time,False
SH000242,W02,ST02,CR01,2024-01-21,2024-01-22,2024-01-22,20.9,1336.73,On-time,False
SH000243,W02,ST02,CR03,2024-01-22,2024-01-23,2024-01-23,9.3,864.97,On-time,False
SH000244,W01,ST02,CR04,2024-01-23,2024-01-25,2024-01-25,221.4,9625.68,On-time,False
SH000245,W02,ST02,CR03,2024-01-24,2024-01-25,2024-01-25,34.1,2051.72,On-time,False
SH000246,W02,ST02,CR04,2024-01-26,2024-01-27,2024-01-27,13.8,824.25,Lost,False
SH000247,W02,ST02,CR04,2024-01-27,2024-01-28,2024-01-28,8.9,557.68,On-time,False
SH000248,W02,ST02,CR01,2024-01-28,2024-01-29,2024-01-29,18.3,1291.5,On-time,False
SH000249,W01,ST02,CR05,2024-01-29,2024-01-31,2024-01-31,221.4,10371.64,On-time,False
SH000250,W02,ST02,CR01,2024-01-31,2024-02-01,2024-02-01,19.5,1076.27,On-time,False
SH000251,W02,ST02,CR03,2024-02-02,2024-02-03,2024-02-04,9.6,966.94,Delayed,False
SH000252,W02,ST02,CR04,2024-02-03,2024-02-04,2024-02-04,34.9,2008.24,On-time,False
SH000253,W02,ST02,CR01,2024-02-04,2024-02-05,2024-02-05,24.4,1571.49,On-time,False
SH000254,W02,ST02,CR01,2024-02-06,2024-02-07,2024-02-07,30.1,2110.4,On-time,False
SH000255,W02,ST02,CR02,2024-02-08,2024-02-09,2024-02-12,20.7,1279.0,Delayed,False
SH000256,W01,ST02,CR05,2024-02-09,2024-02-11,2024-02-11,221.4,,On-time,False
SH000257,W02,ST02,CR03,2024-02-11,2024-02-12,2024-02-12,15.8,1403.38,On-time,False
SH000258,W02,ST02,CR05,2024-02-13,2024-02-14,2024-02-17,23.2,1217.18,Delayed,False
SH000259,W02,ST02,CR01,2024-02-15,2024-02-16,2024-02-16,32.8,1400.42,On-time,False
SH000260,W02,ST02,CR01,2024-02-17,2024-02-18,2024-02-18,16.1,1066.86,On-time,False
SH000261,W02,ST02,CR02,2024-02-19,2024-02-20,2024-02-21,13.8,1171.9,Delayed,False
SH000262,W02,ST02,CR03,2024-02-21,2024-02-22,2024-02-22,14.0,734.69,On-time,False
SH000263,W02,ST02,CR02,2024-02-23,2024-02-24,2024-02-24,12.0,1006.5,On-time,False
SH000264,W02,ST02,CR05,2024-02-24,2024-02-25,2024-02-25,24.2,1505.52,On-time,False
SH000265,W02,ST02,CR05,2024-02-25,2024-02-26,2024-02-26,34.9,1713.4,On-time,False
SH000266,W02,ST02,CR01,2024-02-26,2024-02-27,2024-02-27,13.3,998.95,On-time,False
